datetime,operation,point,profit,status
2019/1/9 9:18,buy,9644,-,order
2019/1/9 9:18,buy,9644,-,deal
2019/1/9 13:28,cover,9727,-,order
2019/1/9 13:28,cover,9727,83,deal
2019/1/9 15:41,sell,9691,-,order
2019/1/9 15:41,sell,9691,-,deal
2019/1/16 8:46,cover,9784,-,order
2019/1/16 8:46,cover,9784,-93,deal
2019/1/16 8:49,buy,9784,-,order
2019/1/16 8:49,buy,9784,-,deal
2019/1/16 12:51,cover,9785,-,order
2019/1/16 12:51,cover,9785,1,deal
2019/1/16 20:33,sell,9764,-,order
2019/1/16 20:33,sell,9764,-,deal
2019/1/17 9:04,cover,9813,-,order
2019/1/17 9:04,cover,9813,-49,deal
2019/1/18 18:27,buy,9826,-,order
2019/1/18 18:27,buy,9826,-,deal
2019/1/21 9:17,cover,9866,-,order
2019/1/21 9:17,cover,9866,40,deal
2019/1/21 10:01,sell,9891,-,order
2019/1/21 10:01,sell,9891,-,deal
2019/1/21 13:40,cover,9868,-,order
2019/1/21 13:40,cover,9868,23,deal
2019/1/23 9:01,sell,9814,-,order
2019/1/23 9:01,sell,9814,-,deal
2019/1/24 9:02,cover,9846,-,order
2019/1/24 9:02,cover,9846,-32,deal
2019/1/24 9:02,buy,9845,-,order
2019/1/24 9:02,buy,9845,-,deal
2019/1/24 13:34,cover,9859,-,order
2019/1/24 13:34,cover,9859,14,deal
2019/1/25 8:50,buy,9932,-,order
2019/1/25 8:50,buy,9932,-,deal
2019/1/25 9:14,cover,9915,-,order
2019/1/25 9:14,cover,9915,-17,deal
2019/1/25 9:15,sell,9917,-,order
2019/1/25 9:15,sell,9917,-,deal
2019/1/28 9:21,cover,9990,-,order
2019/1/28 9:32,cover,9990,-,order
2019/1/28 9:39,cover,9990,-,order
2019/1/28 9:41,cover,9990,-,order
2019/1/28 9:44,cover,9990,-,order
2019/1/28 9:48,cover,9990,-,order
2019/1/28 10:17,cover,9990,-,order
2019/1/28 11:01,cover,9990,-73,deal
2019/1/28 15:20,buy,9981,-,order
2019/1/28 15:21,buy,9981,-,deal
2019/1/28 22:53,cover,9935,-,order
2019/1/28 22:57,cover,9935,-46,deal
2019/1/29 0:01,buy,9945,-,order
2019/1/29 9:01,sell,9910,-,order
2019/1/29 9:01,sell,9910,-,deal
2019/1/29 13:16,cover,9900,-,order
2019/1/29 13:45,cover,9900,10,fail
2019/1/29 15:12,cover,9924,-,order
2019/1/29 15:12,cover,9924,-14,deal
2019/1/29 15:13,buy,9923,-,order
2019/1/29 15:14,buy,9923,-,deal
2019/1/30 0:44,cover,9921,-,order
2019/1/30 0:44,cover,9921,-2,deal
2019/1/30 0:55,buy,9922,-,order
2019/1/30 0:55,buy,9922,-,deal
2019/1/30 12:48,cover,9928,-,order
2019/1/30 13:03,cover,9928,6,deal
2019/2/11 17:23,buy,10032,-,order
2019/2/11 17:24,buy,10032,-,deal
2019/2/13 9:34,cover,10074,-,order
2019/2/13 9:35,cover,10074,42,deal
2019/2/14 8:59,sell,10055,-,order
2019/2/14 9:00,sell,10055,-,deal
2019/2/14 9:44,cover,10120,-,order
2019/2/14 9:44,cover,10120,-65,deal
2019/2/14 23:31,sell,10063,-,order
2019/2/14 23:31,sell,10063,-,deal
2019/2/15 22:50,cover,10079,-,order
2019/2/15 22:50,cover,10079,-16,deal
2019/2/20 10:49,sell,10230,-,order
2019/2/20 10:50,sell,10230,-,deal
2019/2/21 15:25,cover,10315,-,order
2019/2/21 15:25,cover,10315,-85,deal
2019/2/21 16:40,buy,10316,-,order
2019/2/21 16:42,buy,10316,-,deal
2019/2/25 10:07,cover,10350,-,order
2019/2/25 10:08,cover,10350,34,deal
2019/2/26 9:07,buy,10380,-,order
2019/2/26 9:07,buy,10380,-,deal
2019/3/15 11:35,cover,10420,-,order
2019/3/15 12:08,cover,10420,40,deal
2019/3/18 9:37,buy,10428,-,order
2019/3/18 9:39,buy,10428,-,deal
2019/3/18 13:17,cover,10473,-,order
2019/3/18 13:17,cover,10473,45,deal
2019/3/19 9:19,buy,10480,-,order
2019/3/19 9:20,buy,10480,-,deal
2019/3/19 13:21,cover,10508,-,order
2019/3/19 13:22,cover,10508,28,deal
2019/3/20 8:56,buy,10500,-,order
2019/3/20 13:45,buy,10500,-,fail
2019/3/20 16:39,buy,10525,-,order
2019/3/20 16:39,buy,10525,-,deal
2019/3/21 13:33,cover,10586,-,order
2019/3/21 13:33,cover,10586,61,deal
2019/3/21 13:40,cover,10586,-,order
2019/3/21 13:40,cover,10586,0,deal
2019/3/22 8:52,buy,10648,-,order
2019/3/22 8:52,buy,10648,-,deal
2019/3/22 10:48,cover,10581,-,order
2019/3/22 11:26,cover,10581,-67,deal
2019/3/22 11:27,buy,10583,-,order
2019/3/22 12:05,buy,10583,-,deal
2019/3/22 16:16,cover,10622,-,order
2019/3/22 16:17,cover,10622,39,deal
